team1,team2,toss_winner,toss_decision,winner,player_of_match,venue,city,team1_players,team2_players,season,match_number,match_type,result,result_margin,target_runs,target_overs,super_over
8,0,0,0,8,Sohail Tanvir,43,Jaipur,"GC Smith, SA Asnodkar, YK Pathan, SR Watson, M Rawat, M Kaif, RA Jadeja, SK Warne, Sohail Tanvir, SK Trivedi, MM Patel","PA Patel, SP Fleming, S Vidyut, SK Raina, S Badrinath, MS Dhoni, JA Morkel, Joginder Sharma, MS Gony, M Muralitharan, M Ntini",1,23,League,runs,29.0,163.0,20.0,0
9,3,3,1,3,S Sreesanth,22,Bangalore,"W Jaffer, V Kohli, CL White, JH Kallis, R Dravid, Misbah-ul-Haq, P Kumar, DT Patil, Z Khan, A Kumble, DW Steyn","SE Marsh, JR Hopes, RR Sarwan, Yuvraj Singh, DPMD Jayawardene, IK Pathan, PP Chawla, U Kaul, Gagandeep Singh, S Sreesanth, VRV Singh",1,25,League,wickets,6.0,127.0,20.0,0
6,8,6,1,6,A Nehra,9,Mumbai,"YV Takawale, ST Jayasuriya, RV Uthappa, DJ Bravo, AM Nayar, DJ Thornely, SM Pollock, SS Tiwary, RR Raje, A Nehra, DS Kulkarni","GC Smith, SA Asnodkar, YK Pathan, SR Watson, M Kaif, RA Jadeja, SK Warne, Sohail Tanvir, M Rawat, SK Trivedi, MM Patel",1,27,League,wickets,7.0,104.0,20.0,0
4,9,4,0,4,SC Ganguly,14,Kolkata,"A Chopra, BJ Hodge, SC Ganguly, DJ Hussey, T Taibu, LR Shukla, WP Saha, M Kartik, Umar Gul, I Sharma, AB Dinda","J Arunkumar, S Chanderpaul, MV Boucher, R Dravid, CL White, P Kumar, R Vinay Kumar, V Kohli, Z Khan, A Kumble, DW Steyn",1,29,League,runs,5.0,130.0,16.0,0
0,3,3,1,0,L Balaji,26,Chennai,"S Vidyut, SP Fleming, SK Raina, S Badrinath, MS Dhoni, JA Morkel, CK Kapugedera, P Amarnath, MS Gony, M Muralitharan, L Balaji","SE Marsh, JR Hopes, K Goel, RR Sarwan, Yuvraj Singh, DPMD Jayawardene, IK Pathan, PP Chawla, S Sreesanth, VRV Singh, U Kaul",1,31,League,runs,18.0,182.0,20.0,0
3,9,9,0,3,SE Marsh,38,Chandigarh,"SE Marsh, JR Hopes, LA Pomersbach, Yuvraj Singh, DPMD Jayawardene, IK Pathan, TM Srivastava, PP Chawla, U Kaul, S Sreesanth, VRV Singh","J Arunkumar, V Kohli, Misbah-ul-Haq, CL White, R Dravid, MV Boucher, P Kumar, R Vinay Kumar, Z Khan, A Kumble, DW Steyn",1,34,League,wickets,9.0,144.0,20.0,0
6,0,6,1,6,ST Jayasuriya,49,Mumbai,"ST Jayasuriya, SR Tendulkar, RV Uthappa, DJ Thornely, DJ Bravo, AM Nayar, SM Pollock, YV Takawale, RR Raje, A Nehra, DS Kulkarni","S Vidyut, SP Fleming, SK Raina, S Badrinath, CK Kapugedera, MS Dhoni, JA Morkel, Joginder Sharma, MS Gony, L Balaji, M Muralitharan",1,36,League,wickets,9.0,157.0,20.0,0
6,4,6,1,6,SM Pollock,49,Mumbai,"ST Jayasuriya, SR Tendulkar, RV Uthappa, DJ Thornely, DJ Bravo, AM Nayar, SM Pollock, RV Pawar, YV Takawale, RR Raje, A Nehra","Salman Butt, A Chopra, SC Ganguly, DJ Hussey, Mohammad Hafeez, WP Saha, LR Shukla, AB Agarkar, Shoaib Akhtar, I Sharma, AB Dinda",1,38,League,wickets,8.0,68.0,20.0,0
8,9,9,1,8,GC Smith,43,Jaipur,"GC Smith, SA Asnodkar, SR Watson, YK Pathan, M Kaif, RA Jadeja, SK Warne, Sohail Tanvir, M Rawat, SK Trivedi, MM Patel","J Arunkumar, V Kohli, Misbah-ul-Haq, JH Kallis, CL White, R Dravid, DT Patil, P Kumar, Z Khan, A Kumble, Abdur Razzak",1,40,League,runs,65.0,198.0,20.0,0
4,0,4,0,0,M Ntini,14,Kolkata,"Salman Butt, Mohammad Hafeez, SC Ganguly, DB Das, DJ Hussey, LR Shukla, WP Saha, AB Agarkar, I Sharma, AB Dinda, Shoaib Akhtar","PA Patel, SP Fleming, S Vidyut, SK Raina, S Badrinath, MS Dhoni, JA Morkel, MS Gony, L Balaji, M Muralitharan, M Ntini",1,42,League,runs,3.0,53.0,8.0,0
4,8,8,1,8,YK Pathan,14,Kolkata,"Salman Butt, Mohammad Hafeez, SC Ganguly, DJ Hussey, DB Das, LR Shukla, WP Saha, AB Agarkar, Umar Gul, I Sharma, AB Dinda","GC Smith, SA Asnodkar, Sohail Tanvir, M Kaif, SR Watson, YK Pathan, RA Jadeja, SK Warne, M Rawat, SK Trivedi, MM Patel",1,44,League,wickets,6.0,148.0,20.0,0
0,9,9,0,9,A Kumble,26,Chennai,"PA Patel, SP Fleming, MS Dhoni, SK Raina, S Badrinath, JA Morkel, S Vidyut, MS Gony, L Balaji, M Ntini, M Muralitharan","JH Kallis, SP Goswami, V Kohli, R Dravid, Misbah-ul-Haq, MV Boucher, B Akhil, P Kumar, R Vinay Kumar, A Kumble, DW Steyn",1,45,League,runs,1.0,190.0,20.0,0
6,3,6,1,3,SE Marsh,49,Mumbai,"ST Jayasuriya, SR Tendulkar, DR Smith, AM Nayar, RV Uthappa, SM Pollock, PR Shah, SD Chitnis, CRD Fernando, A Nehra, VS Yeligati","SE Marsh, JR Hopes, LA Pomersbach, Yuvraj Singh, DPMD Jayawardene, IK Pathan, TM Srivastava, PP Chawla, U Kaul, S Sreesanth, VRV Singh",1,46,League,runs,14.0,127.0,20.0,0
0,8,8,0,8,JA Morkel,26,Chennai,"PA Patel, SP Fleming, SK Raina, JA Morkel, MS Dhoni, S Badrinath, MS Gony, A Mukund, L Balaji, M Muralitharan, M Ntini","GC Smith, SA Asnodkar, Kamran Akmal, YK Pathan, M Kaif, T Kohli, D Salunkhe, SK Warne, Sohail Tanvir, Pankaj Singh, MM Patel",1,48,League,wickets,5.0,177.0,20.0,0
4,3,3,0,4,Umar Gul,14,Kolkata,"Salman Butt, SC Ganguly, DB Das, DJ Hussey, LR Shukla, WP Saha, A Chopra, Umar Gul, I Sharma, BAW Mendis, AB Dinda","SE Marsh, JR Hopes, KC Sangakkara, Yuvraj Singh, DPMD Jayawardene, IK Pathan, PP Chawla, TM Srivastava, RR Powar, VRV Singh, S Sreesanth",1,50,League,wickets,5.0,166.0,20.0,0
8,6,8,1,8,Sohail Tanvir,43,Jaipur,"Kamran Akmal, SA Asnodkar, YK Pathan, SR Watson, M Kaif, RA Jadeja, NK Patel, SK Warne, Sohail Tanvir, SK Trivedi, Pankaj Singh","ST Jayasuriya, SR Tendulkar, AM Nayar, RV Uthappa, DR Smith, SM Pollock, MK Pandey, YV Takawale, RR Raje, CRD Fernando, A Nehra",1,52,League,wickets,5.0,146.0,20.0,0
3,8,8,1,3,SE Marsh,38,Chandigarh,"SE Marsh, JR Hopes, Yuvraj Singh, LA Pomersbach, KC Sangakkara, RR Powar, PP Chawla, IK Pathan, VRV Singh, S Sreesanth, WA Mota","M Kaif, NK Patel, Younis Khan, SR Watson, YK Pathan, Kamran Akmal, M Rawat, D Salunkhe, Pankaj Singh, SK Trivedi, MM Patel",1,54,League,wickets,9.0,123.0,18.0,0
9,6,6,1,6,CRD Fernando,22,Bangalore,"MV Boucher, SP Goswami, Misbah-ul-Haq, R Dravid, CL White, V Kohli, B Akhil, P Kumar, R Vinay Kumar, A Kumble, DW Steyn","ST Jayasuriya, SR Tendulkar, RV Uthappa, DR Smith, AM Nayar, SM Pollock, MK Pandey, YV Takawale, DS Kulkarni, CRD Fernando, A Nehra",1,55,League,runs,41.0,222.0,20.0,0
0,3,3,0,0,M Ntini,49,Mumbai,"PA Patel, S Vidyut, SK Raina, MS Dhoni, CK Kapugedera, S Badrinath, JA Morkel, MS Gony, L Balaji, M Muralitharan, M Ntini","SE Marsh, JR Hopes, KC Sangakkara, Yuvraj Singh, DPMD Jayawardene, IK Pathan, WA Mota, PP Chawla, RR Powar, S Sreesanth, VRV Singh",1,57,Semi Final,wickets,9.0,113.0,20.0,0
0,8,8,1,8,YK Pathan,9,Mumbai,"PA Patel, S Vidyut, SK Raina, JA Morkel, MS Dhoni, CK Kapugedera, S Badrinath, MS Gony, L Balaji, M Muralitharan, M Ntini","NK Patel, SA Asnodkar, Kamran Akmal, SR Watson, YK Pathan, M Kaif, RA Jadeja, SK Warne, Sohail Tanvir, SK Trivedi, MM Patel",1,58,Final,wickets,3.0,164.0,20.0,0
9,8,9,0,9,R Dravid,34,Cape Town,"JD Ryder, RV Uthappa, LRPL Taylor, KP Pietersen, R Dravid, V Kohli, B Akhil, P Kumar, R Vinay Kumar, DW Steyn, A Kumble","GC Smith, SA Asnodkar, NK Patel, T Henderson, YK Pathan, AD Mascarenhas, RA Jadeja, SK Warne, M Rawat, MM Patel, Kamran Khan",2,1,League,runs,19.0,166.0,20.0,0
0,6,0,1,6,SR Tendulkar,34,Cape Town,"PA Patel, ML Hayden, SK Raina, A Flintoff, MS Dhoni, JDP Oram, S Badrinath, Joginder Sharma, T Thushara, MS Gony, R Ashwin","ST Jayasuriya, SR Tendulkar, S Dhawan, JP Duminy, DJ Bravo, AM Nayar, Harbhajan Singh, Z Khan, PR Shah, SL Malinga, RR Raje",2,2,League,runs,75.0,134.0,20.0,0
9,0,0,0,0,M Muralitharan,47,Port Elizabeth,"P Kumar, RV Uthappa, JH Kallis, LRPL Taylor, KP Pietersen, R Dravid, V Kohli, R Bishnoi, R Vinay Kumar, DW Steyn, A Kumble","PA Patel, ML Hayden, SK Raina, MS Dhoni, A Flintoff, JA Morkel, S Badrinath, Joginder Sharma, L Balaji, MS Gony, M Muralitharan",2,5,League,runs,92.0,180.0,20.0,0
3,4,4,1,4,CH Gayle,21,Durban,"RS Bopara, K Goel, IK Pathan, KC Sangakkara, Yuvraj Singh, DPMD Jayawardene, T Kohli, PP Chawla, VS Malik, VRV Singh, YA Abdulla","BB McCullum, CH Gayle, BJ Hodge, SC Ganguly, Yashpal Singh, A Chopra, MC Henriques, LR Shukla, I Sharma, M Kartik, AB Dinda",2,6,League,runs,11.0,69.0,9.2,0
9,3,9,0,3,RS Bopara,21,Durban,"JD Ryder, RV Uthappa, JH Kallis, KP Pietersen, R Dravid, LRPL Taylor, V Kohli, P Kumar, R Vinay Kumar, Pankaj Singh, A Kumble","RS Bopara, K Goel, KC Sangakkara, Yuvraj Singh, DPMD Jayawardene, IK Pathan, WA Mota, PP Chawla, VRV Singh, RR Bose, YA Abdulla",2,10,League,wickets,7.0,169.0,20.0,0
3,8,3,0,3,KC Sangakkara,34,Cape Town,"RS Bopara, K Goel, KC Sangakkara, Yuvraj Singh, DPMD Jayawardene, IK Pathan, PP Chawla, WA Mota, RR Powar, VRV Singh, YA Abdulla","SA Asnodkar, GC Smith, RJ Quiney, YK Pathan, AD Mascarenhas, RA Jadeja, AS Raut, SK Warne, M Rawat, MM Patel, Kamran Khan",2,12,League,wickets,6.0,150.0,20.0,0
4,6,6,0,6,SR Tendulkar,47,Port Elizabeth,"BB McCullum, CH Gayle, BJ Hodge, SC Ganguly, Yashpal Singh, AN Ghosh, LR Shukla, I Sharma, BAW Mendis, AB Dinda, Anureet Singh","ST Jayasuriya, SR Tendulkar, Harbhajan Singh, JP Duminy, AM Nayar, DJ Bravo, S Dhawan, SS Tiwary, PR Shah, Z Khan, SL Malinga",2,15,League,runs,92.0,188.0,20.0,0
9,4,4,0,9,MV Boucher,21,Durban,"JH Kallis, SP Goswami, KP Pietersen, V Kohli, MV Boucher, RE van der Merwe, MK Pandey, P Kumar, Pankaj Singh, A Kumble, KP Appanna","BB McCullum, CH Gayle, BJ Hodge, SC Ganguly, MN van Wyk, WP Saha, LR Shukla, AB Agarkar, M Kartik, I Sharma, AB Dinda",2,17,League,wickets,5.0,140.0,20.0,0
3,6,3,0,3,KC Sangakkara,21,Durban,"RS Bopara, K Goel, KC Sangakkara, Yuvraj Singh, DPMD Jayawardene, IK Pathan, WA Mota, PP Chawla, RR Powar, VS Malik, YA Abdulla","ST Jayasuriya, SR Tendulkar, S Dhawan, JP Duminy, DJ Bravo, AM Nayar, Harbhajan Singh, SS Tiwary, Z Khan, PR Shah, SL Malinga",2,18,League,runs,3.0,120.0,20.0,0
0,8,8,1,0,SK Raina,48,Centurion,"PA Patel, ML Hayden, SK Raina, S Badrinath, JDP Oram, MS Dhoni, JA Morkel, S Tyagi, SB Jakati, L Balaji, M Muralitharan","RJ Quiney, GC Smith, SA Asnodkar, RA Jadeja, YK Pathan, AD Mascarenhas, SK Warne, M Rawat, MM Patel, SK Trivedi, Kamran Khan",2,19,League,wickets,6.0,149.0,20.0,0
4,6,6,0,6,JP Duminy,7,East London,"CH Gayle, SC Ganguly, BJ Hodge, MN van Wyk, LR Shukla, BB McCullum, WP Saha, AB Agarkar, M Kartik, I Sharma, AB Dinda","ST Jayasuriya, SR Tendulkar, Harbhajan Singh, AM Nayar, JP Duminy, GR Napier, AM Rahane, Z Khan, SS Tiwary, PR Shah, SL Malinga",2,21,League,runs,9.0,149.0,20.0,0
9,3,9,0,9,Yuvraj Singh,21,Durban,"JD Ryder, SP Goswami, R Bishnoi, JH Kallis, RV Uthappa, V Kohli, MV Boucher, RE van der Merwe, P Kumar, A Kumble, KP Appanna","Yuvraj Singh, K Goel, SM Katich, KC Sangakkara, DPMD Jayawardene, IK Pathan, PP Chawla, RR Powar, TM Srivastava, VS Malik, YA Abdulla",2,22,League,runs,8.0,146.0,20.0,0
3,4,4,0,3,DPMD Jayawardene,47,Port Elizabeth,"S Sohal, KC Sangakkara, SM Katich, DPMD Jayawardene, Yuvraj Singh, IK Pathan, RR Powar, TM Srivastava, VS Malik, PP Chawla, YA Abdulla","BB McCullum, CH Gayle, BJ Hodge, SC Ganguly, MN van Wyk, WP Saha, LR Shukla, AB Agarkar, M Kartik, I Sharma, AB Dinda",2,25,League,wickets,6.0,154.0,20.0,0
9,6,6,0,9,JH Kallis,33,Johannesburg,"JH Kallis, W Jaffer, RV Uthappa, R Dravid, V Kohli, MV Boucher, RE van der Merwe, D du Preez, P Kumar, R Vinay Kumar, A Kumble","ST Jayasuriya, SR Tendulkar, AM Rahane, JP Duminy, DJ Bravo, AM Nayar, S Dhawan, PR Shah, Harbhajan Singh, Z Khan, SL Malinga",2,26,League,wickets,9.0,150.0,20.0,0
3,8,3,1,8,GC Smith,21,Durban,"S Sohal, KC Sangakkara, K Goel, SM Katich, DPMD Jayawardene, Yuvraj Singh, IK Pathan, PP Chawla, RR Powar, S Sreesanth, YA Abdulla","NV Ojha, GC Smith, YK Pathan, RA Jadeja, LA Carseldine, AS Raut, NK Patel, SK Warne, SM Harwood, SK Trivedi, A Singh",2,28,League,runs,78.0,212.0,20.0,0
0,3,0,0,0,ML Hayden,48,Centurion,"S Badrinath, ML Hayden, SK Raina, MS Dhoni, JA Morkel, GJ Bailey, S Tyagi, SB Jakati, L Balaji, M Muralitharan, MS Gony","S Sohal, SM Katich, K Goel, Yuvraj Singh, DPMD Jayawardene, KC Sangakkara, IK Pathan, S Sreesanth, PP Chawla, YA Abdulla, VRV Singh",2,31,League,wickets,7.0,106.0,20.0,0
9,8,8,1,8,A Singh,48,Centurion,"JH Kallis, W Jaffer, RV Uthappa, R Dravid, V Kohli, MV Boucher, RE van der Merwe, D du Preez, P Kumar, R Vinay Kumar, A Kumble","GC Smith, NV Ojha, LA Carseldine, YK Pathan, RA Jadeja, AS Raut, NK Patel, SK Warne, M Morkel, MM Patel, A Singh",2,32,League,runs,12.0,187.0,18.0,0
0,8,8,0,0,S Badrinath,8,Kimberley,"M Vijay, ML Hayden, SK Raina, S Badrinath, JDP Oram, MS Dhoni, JA Morkel, S Tyagi, SB Jakati, L Balaji, M Muralitharan","GC Smith, NV Ojha, SA Asnodkar, RA Jadeja, YK Pathan, LA Carseldine, AS Raut, SK Warne, SM Harwood, A Singh, SK Trivedi",2,34,League,wickets,3.0,169.0,20.0,0
9,6,6,0,6,JP Duminy,47,Port Elizabeth,"JH Kallis, V Kohli, RV Uthappa, LRPL Taylor, R Dravid, MV Boucher, RE van der Merwe, R Vinay Kumar, A Kumble, KP Appanna, A Mithun","ST Jayasuriya, SR Tendulkar, AM Rahane, JP Duminy, AM Nayar, DJ Bravo, Harbhajan Singh, YV Takawale, C Nanda, DS Kulkarni, SL Malinga",2,36,League,runs,16.0,158.0,20.0,0
9,4,9,1,9,LRPL Taylor,48,Centurion,"JD Ryder, JH Kallis, RV Uthappa, LRPL Taylor, R Dravid, MV Boucher, V Kohli, B Akhil, KP Appanna, R Vinay Kumar, A Kumble","BB McCullum, SC Ganguly, AN Ghosh, DJ Hussey, AD Mathews, WP Saha, Yashpal Singh, AB Agarkar, M Kartik, I Sharma, BAW Mendis",2,39,League,wickets,6.0,174.0,20.0,0
3,6,3,0,6,Harbhajan Singh,48,Centurion,"S Sohal, SM Katich, IK Pathan, KC Sangakkara, Yuvraj Singh, WA Mota, LA Pomersbach, K Goel, B Lee, PP Chawla, S Sreesanth","ST Jayasuriya, DJ Bravo, AM Rahane, SR Tendulkar, JP Duminy, AM Nayar, Harbhajan Singh, RR Raje, YV Takawale, DS Kulkarni, SL Malinga",2,40,League,wickets,8.0,120.0,20.0,0
9,0,0,0,9,LRPL Taylor,21,Durban,"RV Uthappa, JH Kallis, R Dravid, LRPL Taylor, V Kohli, MV Boucher, RE van der Merwe, B Akhil, P Kumar, R Vinay Kumar, A Kumble","M Vijay, ML Hayden, SK Raina, MS Dhoni, JDP Oram, S Badrinath, JA Morkel, SB Jakati, L Balaji, M Muralitharan, S Tyagi",2,42,League,wickets,2.0,130.0,20.0,0
6,8,8,0,8,SK Warne,21,Durban,"DJ Bravo, YV Takawale, AM Rahane, ST Jayasuriya, SR Tendulkar, JP Duminy, AM Nayar, Harbhajan Singh, DS Kulkarni, C Nanda, SL Malinga","RJ Quiney, GC Smith, YK Pathan, RA Jadeja, SD Chitnis, NV Ojha, J Botha, SK Warne, AS Raut, MM Patel, SK Trivedi",2,43,League,runs,2.0,146.0,20.0,0
0,6,6,0,0,ML Hayden,47,Port Elizabeth,"PA Patel, ML Hayden, SK Raina, S Badrinath, MS Dhoni, JDP Oram, JA Morkel, SB Jakati, L Balaji, M Muralitharan, S Tyagi","ST Jayasuriya, DJ Bravo, JP Duminy, SR Tendulkar, AM Nayar, Harbhajan Singh, YV Takawale, AM Rahane, DS Kulkarni, SL Malinga, C Nanda",2,45,League,wickets,7.0,148.0,20.0,0
0,4,0,0,4,BJ Hodge,48,Centurion,"PA Patel, GJ Bailey, SK Raina, MS Dhoni, JA Morkel, S Badrinath, JDP Oram, SB Jakati, L Balaji, M Muralitharan, S Tyagi","BB McCullum, SC Ganguly, BJ Hodge, DJ Hussey, WP Saha, LR Shukla, AB Agarkar, Anureet Singh, M Kartik, AB Dinda, BAW Mendis",2,49,League,wickets,7.0,189.0,20.0,0
4,8,4,1,4,LR Shukla,21,Durban,"BB McCullum, SC Ganguly, BJ Hodge, Yashpal Singh, DJ Hussey, LR Shukla, SS Shaikh, AB Agarkar, CK Langeveldt, AB Dinda, SS Sarkar","NV Ojha, RJ Quiney, SA Asnodkar, NK Patel, J Botha, YK Pathan, RA Jadeja, T Henderson, SK Warne, MM Patel, A Singh",2,51,League,wickets,4.0,102.0,20.0,0
0,3,0,0,0,M Muralitharan,21,Durban,"GJ Bailey, PA Patel, SK Raina, S Badrinath, MS Dhoni, JDP Oram, MS Gony, R Ashwin, T Thushara, L Balaji, M Muralitharan","S Sohal, SM Katich, LA Pomersbach, Yuvraj Singh, KC Sangakkara, WA Mota, IK Pathan, B Lee, PP Chawla, RR Powar, S Sreesanth",2,52,League,runs,24.0,117.0,20.0,0
9,0,9,1,9,MK Pandey,33,Johannesburg,"JH Kallis, MK Pandey, RE van der Merwe, R Dravid, V Kohli, LRPL Taylor, RV Uthappa, MV Boucher, P Kumar, R Vinay Kumar, A Kumble","PA Patel, ML Hayden, MS Dhoni, SK Raina, JA Morkel, JDP Oram, S Badrinath, SB Jakati, L Balaji, M Muralitharan, MS Gony",2,56,Semi Final,wickets,6.0,147.0,20.0,0
6,8,6,0,6,YK Pathan,5,Mumbai,"ST Jayasuriya, SR Tendulkar, AP Tare, SS Tiwary, AT Rayudu, R Sathish, Harbhajan Singh, R McLaren, Z Khan, SL Malinga, AG Murtaza","GC Smith, SA Asnodkar, NV Ojha, AA Jhunjhunwala, YK Pathan, P Dogra, AD Mascarenhas, A Uniyal, SK Warne, Kamran Khan, SW Tait",3,2,League,runs,4.0,213.0,20.0,0
4,9,4,1,4,MK Tiwary,14,Kolkata,"BJ Hodge, MK Tiwary, SC Ganguly, CA Pujara, OA Shah, RS Gavaskar, AD Mathews, WP Saha, M Kartik, CK Langeveldt, I Sharma","JH Kallis, SP Goswami, MK Pandey, V Kohli, EJG Morgan, R Dravid, RV Uthappa, RE van der Merwe, P Kumar, A Kumble, DW Steyn",3,4,League,wickets,7.0,136.0,20.0,0
9,3,3,0,9,JH Kallis,22,Bangalore,"MK Pandey, JH Kallis, RV Uthappa, V Kohli, R Dravid, EJG Morgan, MV Boucher, P Kumar, A Kumble, DW Steyn, R Vinay Kumar","RS Bopara, MS Bisla, Yuvraj Singh, DPMD Jayawardene, IK Pathan, KC Sangakkara, M Kaif, PP Chawla, Bipul Sharma, YA Abdulla, S Sreesanth",3,7,League,wickets,8.0,204.0,20.0,0
4,0,0,0,0,MS Dhoni,14,Kolkata,"BJ Hodge, MK Tiwary, SC Ganguly, WP Saha, OA Shah, AD Mathews, LR Shukla, RS Gavaskar, SE Bond, M Kartik, I Sharma","M Vijay, ML Hayden, SK Raina, S Badrinath, MS Dhoni, JM Kemp, JA Morkel, R Ashwin, L Balaji, M Muralitharan, MS Gony",3,8,League,runs,55.0,165.0,20.0,0
9,8,9,1,9,JH Kallis,22,Bangalore,"MK Pandey, JH Kallis, RV Uthappa, V Kohli, R Dravid, EJG Morgan, MV Boucher, P Kumar, A Kumble, DW Steyn, R Vinay Kumar","NV Ojha, MJ Lumb, DR Martyn, AA Jhunjhunwala, YK Pathan, P Dogra, S Narwal, SK Warne, M Morkel, MM Patel, SK Trivedi",3,10,League,wickets,10.0,93.0,20.0,0
